x_in = 1; y_out = 0
x_in = 2; y_out = 0
x_in = 3; y_out = 0
x_in = 4; y_out = 0
x_in = 5; y_out = 0
x_in = 6; y_out = 0
x_in = 7; y_out = 0
x_in = 8; y_out = 1
x_in = 9; y_out = 1
x_in = 10; y_out = 1
x_in = 11; y_out = 2
x_in = 12; y_out = 2
x_in = 13; y_out = 3
x_in = 14; y_out = 3
x_in = 15; y_out = 4
x_in = 16; y_out = 4
x_in = 17; y_out = 5
x_in = 18; y_out = 5
x_in = 19; y_out = 6
x_in = 20; y_out = 7
x_in = 21; y_out = 7
x_in = 22; y_out = 8
x_in = 23; y_out = 9
x_in = 24; y_out = 10
x_in = 25; y_out = 10
x_in = 26; y_out = 11
x_in = 27; y_out = 12
x_in = 28; y_out = 13
x_in = 29; y_out = 14
x_in = 30; y_out = 15
x_in = 31; y_out = 16
x_in = 32; y_out = 17
x_in = 33; y_out = 18
x_in = 34; y_out = 19
x_in = 35; y_out = 20
x_in = 36; y_out = 21
x_in = 37; y_out = 22
x_in = 38; y_out = 23
x_in = 39; y_out = 24
x_in = 40; y_out = 25
x_in = 41; y_out = 26
x_in = 42; y_out = 27
x_in = 43; y_out = 28
x_in = 44; y_out = 29
x_in = 45; y_out = 30
x_in = 46; y_out = 31
x_in = 47; y_out = 32
x_in = 48; y_out = 33
x_in = 49; y_out = 34
x_in = 50; y_out = 35
x_in = 51; y_out = 36
x_in = 52; y_out = 37
x_in = 53; y_out = 38
x_in = 54; y_out = 39
x_in = 55; y_out = 40
x_in = 56; y_out = 41
x_in = 57; y_out = 42
x_in = 58; y_out = 43
x_in = 59; y_out = 44
x_in = 60; y_out = 45
x_in = 61; y_out = 46
x_in = 62; y_out = 47
x_in = 63; y_out = 48
x_in = 64; y_out = 49
x_in = 65; y_out = 50
x_in = 66; y_out = 51
x_in = 67; y_out = 52
x_in = 68; y_out = 53
x_in = 69; y_out = 54
x_in = 70; y_out = 55
x_in = 71; y_out = 56
x_in = 72; y_out = 57
x_in = 73; y_out = 58
x_in = 74; y_out = 59
x_in = 75; y_out = 60
x_in = 76; y_out = 61
x_in = 77; y_out = 62
x_in = 78; y_out = 63
x_in = 79; y_out = 64
x_in = 80; y_out = 65
x_in = 81; y_out = 66
x_in = 82; y_out = 67
x_in = 83; y_out = 68
x_in = 84; y_out = 69
x_in = 85; y_out = 70
x_in = 86; y_out = 71
x_in = 87; y_out = 72
x_in = 88; y_out = 73
x_in = 89; y_out = 74
x_in = 90; y_out = 75
x_in = 91; y_out = 76
x_in = 92; y_out = 77
x_in = 93; y_out = 78
x_in = 94; y_out = 79
x_in = 95; y_out = 80
x_in = 96; y_out = 81
x_in = 97; y_out = 82
x_in = 98; y_out = 83
x_in = 99; y_out = 84
x_in = 100; y_out = 85
