x_in = 1; y_out = 0; sum = 1
x_in = 2; y_out = 0; sum = 3
x_in = 3; y_out = 0; sum = 6
x_in = 4; y_out = 0; sum = 10
x_in = 5; y_out = 0; sum = 15
x_in = 6; y_out = 0; sum = 21
x_in = 7; y_out = 0; sum = 28
x_in = 8; y_out = 1; sum = 36
x_in = 9; y_out = 1; sum = 45
x_in = 10; y_out = 1; sum = 55
x_in = 11; y_out = 2; sum = 66
x_in = 12; y_out = 2; sum = 78
x_in = 13; y_out = 3; sum = 91
x_in = 14; y_out = 3; sum = 105
x_in = 15; y_out = 4; sum = 120
x_in = 16; y_out = 4; sum = 136
x_in = 17; y_out = 5; sum = 153
x_in = 18; y_out = 5; sum = 171
x_in = 19; y_out = 6; sum = 190
x_in = 20; y_out = 7; sum = 210
x_in = 21; y_out = 7; sum = 231
x_in = 22; y_out = 8; sum = 253
x_in = 23; y_out = 9; sum = 276
x_in = 24; y_out = 10; sum = 300
x_in = 25; y_out = 10; sum = 325
x_in = 26; y_out = 11; sum = 351
x_in = 27; y_out = 12; sum = 378
x_in = 28; y_out = 13; sum = 406
x_in = 29; y_out = 14; sum = 435
x_in = 30; y_out = 15; sum = 465
x_in = 31; y_out = 16; sum = 495
x_in = 32; y_out = 17; sum = 525
x_in = 33; y_out = 18; sum = 555
x_in = 34; y_out = 19; sum = 585
x_in = 35; y_out = 20; sum = 615
x_in = 36; y_out = 21; sum = 645
x_in = 37; y_out = 22; sum = 675
x_in = 38; y_out = 23; sum = 705
x_in = 39; y_out = 24; sum = 735
x_in = 40; y_out = 25; sum = 765
x_in = 41; y_out = 26; sum = 795
x_in = 42; y_out = 27; sum = 825
x_in = 43; y_out = 28; sum = 855
x_in = 44; y_out = 29; sum = 885
x_in = 45; y_out = 30; sum = 915
x_in = 46; y_out = 31; sum = 945
x_in = 47; y_out = 32; sum = 975
x_in = 48; y_out = 33; sum = 1005
x_in = 49; y_out = 34; sum = 1035
x_in = 50; y_out = 35; sum = 1065
x_in = 51; y_out = 36; sum = 1095
x_in = 52; y_out = 37; sum = 1125
x_in = 53; y_out = 38; sum = 1155
x_in = 54; y_out = 39; sum = 1185
x_in = 55; y_out = 40; sum = 1215
x_in = 56; y_out = 41; sum = 1245
x_in = 57; y_out = 42; sum = 1275
x_in = 58; y_out = 43; sum = 1305
x_in = 59; y_out = 44; sum = 1335
x_in = 60; y_out = 45; sum = 1365
x_in = 61; y_out = 46; sum = 1395
x_in = 62; y_out = 47; sum = 1425
x_in = 63; y_out = 48; sum = 1455
x_in = 64; y_out = 49; sum = 1485
x_in = 65; y_out = 50; sum = 1515
x_in = 66; y_out = 51; sum = 1545
x_in = 67; y_out = 52; sum = 1575
x_in = 68; y_out = 53; sum = 1605
x_in = 69; y_out = 54; sum = 1635
x_in = 70; y_out = 55; sum = 1665
x_in = 71; y_out = 56; sum = 1695
x_in = 72; y_out = 57; sum = 1725
x_in = 73; y_out = 58; sum = 1755
x_in = 74; y_out = 59; sum = 1785
x_in = 75; y_out = 60; sum = 1815
x_in = 76; y_out = 61; sum = 1845
x_in = 77; y_out = 62; sum = 1875
x_in = 78; y_out = 63; sum = 1905
x_in = 79; y_out = 64; sum = 1935
x_in = 80; y_out = 65; sum = 1965
x_in = 81; y_out = 66; sum = 1995
x_in = 82; y_out = 67; sum = 2025
x_in = 83; y_out = 68; sum = 2055
x_in = 84; y_out = 69; sum = 2085
x_in = 85; y_out = 70; sum = 2115
x_in = 86; y_out = 71; sum = 2145
x_in = 87; y_out = 72; sum = 2175
